post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47727960,Show HN: Pardonned.com – A searchable database of US Pardons,technology,496,272,vidluther,2026-04-14 17:54:54.118963,0.5472837022132797,True
47729634,Now is the best time to write code by hand,technology,121,55,nickgreg,2026-04-14 17:55:14.173018,0.45081967213114754,False
47687273,Git commands I run before reading any code,technology,2325,506,grepsedawk,2026-04-14 17:55:47.957914,0.2175408426483233,True
47732402,The APL programming language source code (2012),technology,82,29,tosh,2026-04-14 17:55:51.243341,0.3493975903614458,False
47730407,South Korea introduces universal basic mobile data access,technology,417,125,saikatsg,2026-04-14 17:56:41.805648,0.29904306220095694,True
47762994,Ransomware Is Growing Three Times Faster Than the Spending Meant to Stop It,worldnews,24,22,adulion,2026-04-14 17:57:28.280396,0.88,False
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,worldnews,132,30,galaxyLogic,2026-04-14 17:58:48.731283,0.22556390977443608,False
47763185,An open letter to the UK Government on digital privacy,worldnews,8,0,vsajip,2026-04-14 17:59:55.159509,0.0,False
47762272,"Linux 7.0 Released with New Hardware Support, Optimizations and Self-Healing XFS",worldnews,20,0,isaacfrond,2026-04-14 18:03:21.261302,0.0,False
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,438,276,neversaydie,2026-04-14 18:06:08.242256,0.6287015945330297,True
47755938,Warp,worldnews,6,1,Resayours,2026-04-14 18:06:35.601245,0.14285714285714285,False
47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,287,136,jkl5xx,2026-04-14 18:10:18.940801,0.4722222222222222,True
47759079,Sam Altman Attack Suspect Had 'Anti-AI' Document with CEO Names,worldnews,20,3,JumpCrisscross,2026-04-14 18:11:02.171931,0.14285714285714285,False
47745261,Vegetative Patients May Be More Aware Than We Knew,worldnews,35,13,bookofjoe,2026-04-14 18:14:39.812732,0.3611111111111111,False
47757668,Ukraine Tested Space-Launch Capabilities in Middle of War Twice,worldnews,22,0,Teever,2026-04-14 18:14:56.058754,0.0,False
47745230,Sam Altman's home targeted in second attack,worldnews,152,356,babelfish,2026-04-14 18:15:12.713077,2.326797385620915,False
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,chabons,2026-04-14 18:16:48.654729,0.9338422391857506,True
47761215,Pepsi was warned $7 for Doritos was too much. Now they are paying the price,worldnews,8,0,matthest,2026-04-14 18:17:25.033662,0.0,False
47718891,Supply chain nightmare: How Rust will be attacked and what we can do to mitigate,worldnews,122,72,fanf2,2026-04-14 18:19:14.863577,0.5853658536585366,False
47729994,Polymarket gamblers betting millions on war,worldnews,159,129,sandebert,2026-04-14 18:19:18.118196,0.80625,False
47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-14 18:19:37.798572,0.3870967741935484,False
47758029,He Warned About the Dangers of A.I. If Only His Father Had Listened,worldnews,8,1,ceejayoz,2026-04-14 18:20:13.864444,0.1111111111111111,False
47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,261,69,tlhunter,2026-04-14 18:21:10.557106,0.2633587786259542,True
47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,76,39,breve,2026-04-14 18:22:13.347192,0.5064935064935064,False
47755118,Palantir Stock Continues to Fall. Not Even the President Can Erase the Losses,worldnews,16,2,1vuio0pswjnm7,2026-04-14 18:24:18.185244,0.11764705882352941,False
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,441,243,m-hodges,2026-04-14 18:26:14.736323,0.5497737556561086,True
47761825,Roblox devs now need a subscription to share their games freely,sports,59,59,hallole,2026-04-14 18:27:43.404371,0.9833333333333333,False
47741460,How long-distance couples use digital games to facilitate intimacy (2025),sports,129,38,radeeyate,2026-04-14 18:30:27.794831,0.2923076923076923,False
47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,sports,625,152,iceberger2001,2026-04-14 18:32:54.801323,0.24281150159744408,True
47749295,Show HN: Equirect – a Rust VR video player,sports,13,1,greggman65,2026-04-14 18:34:26.753963,0.07142857142857142,False
47698111,Bevy game development tutorials and in-depth resources,sports,139,68,GenericCanadian,2026-04-14 18:34:33.260843,0.4857142857142857,False
47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,237,56,joko42,2026-04-14 18:34:43.177791,0.23529411764705882,True
47747248,"Haunt, the 70s text adventure game, is now playable on a website",sports,82,26,jscalo,2026-04-14 18:36:08.779224,0.3132530120481928,False
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,120,36,pruz,2026-04-14 18:44:41.886188,0.2975206611570248,False
47709251,Netflix Prices Went Up Again – I Bought a DVD Player Instead,sports,262,278,speckx,2026-04-14 18:45:27.817914,1.0570342205323193,True
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",sports,28,7,russellharper,2026-04-14 18:45:57.527384,0.2413793103448276,False
47704430,Can It Resolve Doom? Game Engine in 2k DNS Records,sports,10,2,choult,2026-04-14 18:47:42.881580,0.18181818181818182,False
47738343,The Physics of GPS,science,161,35,maouida,2026-04-14 18:59:28.092466,0.21604938271604937,False
47758831,FAA Says Military Can Use Anti-Drone Lasers in U.S. Airspace,science,22,5,bookofjoe,2026-04-14 19:01:17.726307,0.21739130434782608,False
47708818,Native Instant Space Switching on macOS,science,642,326,PaulHoule,2026-04-14 19:05:21.642707,0.5069984447900466,True
47739305,Tell HN: OpenAI silently removed Study Mode from ChatGPT,science,178,77,smokel,2026-04-14 19:06:40.161101,0.4301675977653631,False
47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-14 19:07:34.867261,0.047619047619047616,False
47745543,New metal with triple copper's heat conduction challenges fundamental physics,science,30,13,thunderbong,2026-04-14 19:08:38.830485,0.41935483870967744,False
47741449,SpaceX holds $603M in Bitcoin despite $5B loss stemming from xAI,science,27,9,lexandstuff,2026-04-14 19:13:02.691437,0.32142857142857145,False
47704443,Study found that young adults have grown less hopeful and more angry about AI,science,141,185,elsewhen,2026-04-14 19:16:59.350112,1.3028169014084507,False
47733222,Show HN: Bitcoin and Quantum Computing – a three-part research series,science,6,1,nvk,2026-04-14 19:19:30.821906,0.14285714285714285,False
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,155,39,cvrajeesh,2026-04-14 19:23:04.388417,0.25,False
47762851,Show HN: A stateful UI runtime for reactive web apps in Go,entertainment,6,2,derstruct,2026-04-14 19:23:07.641377,0.2857142857142857,False
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,508,292,a-ve,2026-04-14 19:25:54.913931,0.5736738703339882,True
47757552,Show HN: Continual Learning with .md,entertainment,27,26,wenhan_zhou,2026-04-14 19:26:13.294506,0.9285714285714286,False
47724352,Filing the corners off my MacBooks,entertainment,1398,669,normanvalentine,2026-04-14 19:26:32.697701,0.4781987133666905,True
47754559,Show HN: Mcptube – Karpathy's LLM Wiki idea applied to YouTube videos,entertainment,12,1,0xchamin,2026-04-14 19:27:14.009256,0.07692307692307693,False
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,53,0,mooreds,2026-04-14 19:27:18.001801,0.0,False
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,240,105,Rochus,2026-04-14 19:27:47.298279,0.43568464730290457,True
47758453,Your Favorite Movies Were CIA Propaganda [video],entertainment,32,3,joe_mamba,2026-04-14 19:27:59.559953,0.09090909090909091,False
47754329,Show HN: Farchive – SQLite-backed history-preserving compressed archive,entertainment,5,0,ekns,2026-04-14 19:32:47.294773,0.0,False
47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,anigbrowl,2026-04-14 19:33:28.973240,0.18421052631578946,False
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-14 19:33:48.469966,0.23717948717948717,False
47743700,European AI. A playbook to own it,entertainment,199,132,hjouneau,2026-04-14 19:34:07.151832,0.66,True
47758287,Dear Master (an open letter from an early Facebook employee),entertainment,13,1,plonkus,2026-04-14 19:35:17.134206,0.07142857142857142,False
47744683,Show HN: Rekal – Long-term memory for LLMs in a single SQLite file,entertainment,7,9,jeeybee,2026-04-14 19:35:27.849746,1.125,False
47722011,Show HN: A WYSIWYG word processor in Python,entertainment,91,39,chrisecker,2026-04-14 19:36:09.645007,0.42391304347826086,False
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,176,168,randerson_112,2026-04-14 19:36:25.099897,0.9491525423728814,False
47745300,Show HN: A social feed with no strangers,entertainment,9,5,rpatni,2026-04-14 19:36:29.069855,0.5,False
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,48,25,behat,2026-04-14 19:37:05.654304,0.5102040816326531,False
47721255,Show HN: Eve – Managed OpenClaw for work,entertainment,71,39,zachdive,2026-04-14 19:37:24.718495,0.5416666666666666,False
47699470,The Life and Death of the Book Review,entertainment,30,7,lermontov,2026-04-14 19:38:10.237109,0.22580645161290322,False
47730522,Show HN: Waffle – Native macOS terminal that auto-tiles sessions into a grid,entertainment,40,21,olleeolleeollee,2026-04-14 19:38:22.794226,0.5121951219512195,False
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,63,33,babawere,2026-04-14 19:41:14.872964,0.515625,False
47736071,The Universal Standard Book Number,entertainment,13,4,novalis78,2026-04-14 19:42:00.371435,0.2857142857142857,False
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,147,158,latchkey,2026-04-14 19:43:00.244642,1.0675675675675675,False
